Concept,Question,Option One,Option Two,Option Three,Option Four,Correct Answer,Note
data encryption,What is a use case for data encryption?,Random access,Secure communication,Filtering data,Sorting data,Secure communication,Protects data.
data encryption,What is a benefit of data encryption?,Increased complexity,Security,More memory usage,Slower execution,Security,Prevents unauthorized access.
data encryption,What is a limitation of data encryption?,Improved performance,Performance overhead,Low memory usage,Fast execution,Performance overhead,Adds computation.
graphql,What is GraphQL?,A query language for APIs,Sorting language,Filtering language,Compression language,A query language for APIs,Flexible data fetching.
graphql,What company developed GraphQL?,Facebook,Google,Microsoft,Amazon,Facebook,Introduced in 2012.
graphql,What is a use case for GraphQL?,Random access,API development,Filtering data,Sorting data,API development,Efficient queries.
graphql,What is a benefit of GraphQL?,Increased complexity,Flexibility,More memory usage,Slower execution,Flexibility,Client-defined data.
graphql,What is a limitation of GraphQL?,Improved performance,Complexity,Low memory usage,Fast execution,Complexity,Requires careful design.
data visualization,What is data visualization?,Representing data graphically,Sorting data,Filtering data,Compressing data,Representing data graphically,Improves insight.
data visualization,What library is used for visualization in Python?,Matplotlib,NumPy,Pandas,SQL,Matplotlib,Creates plots.
data visualization,What is a use case for data visualization?,Random access,Data analysis,Filtering data,Sorting data,Data analysis,Communicates trends.
data visualization,What is a benefit of data visualization?,Increased complexity,Clarity,More memory usage,Slower execution,Clarity,Enhances understanding.
data visualization,What is a limitation of data visualization?,Improved performance,Misinterpretation,Low memory usage,Fast execution,Misinterpretation,Depends on design.
rest api,What is a REST API?,A stateless client-server communication protocol,Sorting protocol,Filtering protocol,Compression protocol,A stateless client-server communication protocol,Uses HTTP methods.
rest api,What HTTP method creates a resource?,POST,GET,PUT,DELETE,POST,Adds new data.
rest api,What is a use case for REST API?,Random access,Web services,Filtering data,Sorting data,Web services,Enables integration.
rest api,What is a benefit of REST API?,Increased complexity,Scalability,More memory usage,Slower execution,Scalability,Handles growth.
rest api,What is a limitation of REST API?,Improved performance,Over-fetching,Low memory usage,Fast execution,Over-fetching,May return excess data.
data cleaning,What is data cleaning?,Removing inconsistencies from data,Sorting data,Filtering data,Compressing data,Removing inconsistencies from data,Improves quality.
data cleaning,What technique is used in data cleaning?,Removing duplicates,Adding noise,Sorting data,Encrypting data,Removing duplicates,Ensures accuracy.
data cleaning,What is a use case for data cleaning?,Random access,Data analysis,Filtering data,Sorting data,Data analysis,Prepares data.
data cleaning,What is a benefit of data cleaning?,Increased complexity,Accuracy,More memory usage,Slower execution,Accuracy,Enhances reliability.
data cleaning,What is a limitation of data cleaning?,Improved performance,Time-intensive,Low memory usage,Fast execution,Time-intensive,Requires effort.
automation,What is automation in programming?,Automating repetitive tasks,Sorting tasks,Filtering tasks,Compressing tasks,Automating repetitive tasks,Improves efficiency.
automation,What tool is used for automation?,Scripts,HTML,CSS,JavaScript,Scripts,Automates workflows.
automation,What is a use case for automation?,Random access,Testing,Filtering data,Sorting data,Testing,Reduces manual effort.
automation,What is a benefit of automation?,Increased complexity,Productivity,More memory usage,Slower execution,Productivity,Saves time.
automation,What is a limitation of automation?,Improved performance,Initial setup cost,Low memory usage,Fast execution,Initial setup cost,Requires investment.
authorization,What is authorization in security?,Granting access based on permissions,Sorting permissions,Filtering permissions,Compressing permissions,Granting access based on permissions,Controls resources.
authorization,What mechanism supports authorization?,OAuth,HTML,CSS,JavaScript,OAuth,Secure token-based access.
authorization,What is a use case for authorization?,Random access,Access control,Filtering data,Sorting data,Access control,Secures data.
authorization,What is a benefit of authorization?,Increased complexity,Security,More memory usage,Slower execution,Security,Prevents unauthorized access.
authorization,What is a limitation of authorization?,Improved performance,Complexity,Low memory usage,Fast execution,Complexity,Requires management.
logic programming,What is logic programming?,Programming using logical rules and inferences,Sorting logic,Filtering logic,Compressing logic,Programming using logical rules and inferences,Used in Prolog.
logic programming,What language uses logic programming?,Prolog,Python,Java,C++,Prolog,Declarative style.
logic programming,What is a use case for logic programming?,Random access,Expert systems,Filtering data,Sorting data,Expert systems,Solves queries.
logic programming,What is a benefit of logic programming?,Increased complexity,Clarity,More memory usage,Slower execution,Clarity,Expresses relationships.
logic programming,What is a limitation of logic programming?,Improved performance,Performance overhead,Low memory usage,Fast execution,Performance overhead,Less efficient.
accessibility,What is accessibility in web development?,Making web content usable for all,Sorting content,Filtering content,Compressing content,Making web content usable for all,Supports inclusivity.
accessibility,What standard guides accessibility?,WCAG,HTML,CSS,JavaScript,WCAG,Web Content Accessibility Guidelines.
accessibility,What is a use case for accessibility?,Random access,Website design,Filtering data,Sorting data,Website design,Ensures usability.
accessibility,What is a benefit of accessibility?,Increased complexity,Inclusivity,More memory usage,Slower execution,Inclusivity,Reaches wider audience.
accessibility,What is a limitation of accessibility?,Improved performance,Development cost,Low memory usage,Fast execution,Development cost,Requires effort.
seo optimization,What is SEO optimization?,Improving visibility on search engines,Sorting content,Filtering content,Compressing content,Improving visibility on search engines,Drives traffic.
seo optimization,What factor affects SEO?,Keywords,Loops,Variables,Arrays,Keywords,Enhances ranking.
seo optimization,What is a use case for SEO optimization?,Random access,Website promotion,Filtering data,Sorting data,Website promotion,Increases reach.
seo optimization,What is a benefit of SEO optimization?,Increased complexity,Traffic growth,More memory usage,Slower execution,Traffic growth,Attracts users.
seo optimization,What is a limitation of SEO optimization?,Improved performance,Time-intensive,Low memory usage,Fast execution,Time-intensive,Requires monitoring.
code validation,What is code validation?,Checking code for correctness,Sorting code,Filtering code,Compressing code,Checking code for correctness,Ensures quality.
code validation,What tool is used for code validation?,Linter,Compiler,Debugger,Formatter,Linter,Checks syntax.
code validation,What is a use case for code validation?,Random access,Bug prevention,Filtering data,Sorting data,Bug prevention,Improves reliability.
code validation,What is a benefit of code validation?,Increased complexity,Accuracy,More memory usage,Slower execution,Accuracy,Reduces errors.
code validation,What is a limitation of code validation?,Improved performance,Overhead,Low memory usage,Fast execution,Overhead,Adds processing time.
machine learning,What is machine learning?,Teaching machines to learn from data,Sorting data,Filtering data,Compressing data,Teaching machines to learn from data,Automates predictions.
machine learning,What algorithm is used in machine learning?,Linear regression,Linear search,Binary search,Bubble sort,Linear regression,Predicts trends.
machine learning,What is a use case for machine learning?,Random access,Image recognition,Filtering data,Sorting data,Image recognition,Automates tasks.
machine learning,What is a benefit of machine learning?,Increased complexity,Accuracy,More memory usage,Slower execution,Accuracy,Improves decisions.
machine learning,What is a limitation of machine learning?,Improved performance,Data dependency,Low memory usage,Fast execution,Data dependency,Requires quality data.
reinforcement learning,What is reinforcement learning?,Learning through trial and error with rewards,Sorting data,Filtering data,Compressing data,Learning through trial and error with rewards,Optimizes behavior.
reinforcement learning,What technique uses reinforcement learning?,Q-learning,Linear search,Binary search,Bubble sort,Q-learning,Updates policies.
reinforcement learning,What is a use case for reinforcement learning?,Random access,Game playing,Filtering data,Sorting data,Game playing,Trains agents.
reinforcement learning,What is a benefit of reinforcement learning?,Increased complexity,Adaptability,More memory usage,Slower execution,Adaptability,Learns dynamically.
reinforcement learning,What is a limitation of reinforcement learning?,Improved performance,Exploration challenge,Low memory usage,Fast execution,Exploration challenge,Requires balance.
data security,What is data security?,Protecting data from unauthorized access,Sorting data,Filtering data,Compressing data,Protecting data from unauthorized access,Ensures privacy.
data security,What technique enhances data security?,Encryption,Looping,Variable declaration,Array sorting,Encryption,Secures data.
data security,What is a use case for data security?,Random access,Confidential data,Filtering data,Sorting data,Confidential data,Protects sensitive info.
data security,What is a benefit of data security?,Increased complexity,Protection,More memory usage,Slower execution,Protection,Prevents breaches.
data security,What is a limitation of data security?,Improved performance,Performance overhead,Low memory usage,Fast execution,Performance overhead,Adds computation.
framework,What is a framework in programming?,A structure for building applications,Sorting tool,Filtering tool,Compression tool,A structure for building applications,Simplifies development.
framework,What is an example of a framework?,Django,HTML,CSS,JavaScript,Django,Web development tool.
framework,What is a use case for frameworks?,Random access,Application development,Filtering data,Sorting data,Application development,Speeds up coding.
framework,What is a benefit of frameworks?,Increased complexity,Productivity,More memory usage,Slower execution,Productivity,Provides tools.
framework,What is a limitation of frameworks?,Improved performance,Learning curve,Low memory usage,Fast execution,Learning curve,Requires understanding.
greedy algorithms,What are greedy algorithms?,Algorithms that make locally optimal choices,Sorting algorithms,Filtering algorithms,Compression algorithms,Algorithms that make locally optimal choices,Fast but not always optimal.
greedy algorithms,What problem uses a greedy approach?,Kruskal's algorithm,Linear search,Binary search,Bubble sort,Kruskal's algorithm,Finds MST.
greedy algorithms,What is a use case for greedy algorithms?,Random access,Scheduling,Filtering data,Sorting data,Scheduling,Optimizes tasks.
greedy algorithms,What is a benefit of greedy algorithms?,Increased complexity,Simplicity,More memory usage,Slower execution,Simplicity,Easy to implement.
greedy algorithms,What is a limitation of greedy algorithms?,Improved performance,Suboptimal solutions,Low memory usage,Fast execution,Suboptimal solutions,May fail globally.
recurrence relations,What are recurrence relations?,Equations defining sequences recursively,Sorting equations,Filtering equations,Compression equations,Equations defining sequences recursively,Used in DP.
recurrence relations,What problem uses recurrence relations?,Fibonacci,Linear search,Binary search,Bubble sort,Fibonacci,Defines series.
recurrence relations,What is a use case for recurrence relations?,Random access,Algorithm analysis,Filtering data,Sorting data,Algorithm analysis,Models complexity.
recurrence relations,What is a benefit of recurrence relations?,Increased complexity,Clarity,More memory usage,Slower execution,Clarity,Expresses patterns.
recurrence relations,What is a limitation of recurrence relations?,Improved performance,Complexity in solving,Low memory usage,Fast execution,Complexity in solving,Requires math skills.
big o notation,What is Big O notation?,A measure of algorithm efficiency,Sorting metric,Filtering metric,Compression metric,A measure of algorithm efficiency,Analyzes time/space.
big o notation,What does O(n) represent?,Constant time,Linear time,Quadratic time,Logarithmic time,Linear time,Grows with input size.
big o notation,What is a use case for Big O notation?,Random access,Performance analysis,Filtering data,Sorting data,Performance analysis,Compares algorithms.
big o notation,What is a benefit of Big O notation?,Increased complexity,Understanding,More memory usage,Slower execution,Understanding,Simplifies comparison.
big o notation,What is a limitation of Big O notation?,Improved performance,Ignores constants,Low memory usage,Fast execution,Ignores constants,Approximation only.
relational databases,What are relational databases?,Databases using tables with relationships,Sorting databases,Filtering databases,Compression databases,Databases using tables with relationships,Structured query.
relational databases,What language queries relational databases?,SQL,HTML,CSS,JavaScript,SQL,Standard query language.
relational databases,What is a use case for relational databases?,Random access,Data storage,Filtering data,Sorting data,Data storage,Manages structured data.
relational databases,What is a benefit of relational databases?,Increased complexity,Consistency,More memory usage,Slower execution,Consistency,Ensures integrity.
relational databases,What is a limitation of relational databases?,Improved performance,Scalability issues,Low memory usage,Fast execution,Scalability issues,Large data challenges.
sql,What is SQL?,Structured Query Language,Sorting Query Language,Filtering Query Language,Compression Query Language,Structured Query Language,Manages databases.
sql,What command retrieves data in SQL?,SELECT,INSERT,UPDATE,DELETE,SELECT,Fetches rows.
sql,What is a use case for SQL?,Random access,Database queries,Filtering data,Sorting data,Database queries,Retrieves data.
sql,What is a benefit of SQL?,Increased complexity,Standardization,More memory usage,Slower execution,Standardization, Widely used.
sql,What is a limitation of SQL?,Improved performance,Complex joins,Low memory usage,Fast execution,Complex joins,Performance impact.
tables,What are tables in databases?,Structured data containers,Sorting containers,Filtering containers,Compression containers,Structured data containers,Organize data.
tables,What defines a table in SQL?,Columns and rows,Loops and variables,Arrays and functions,Graphs and trees,Columns and rows,Basic structure.
tables,What is a use case for tables?,Random access,Data organization,Filtering data,Sorting data,Data organization,Stores records.
tables,What is a benefit of tables?,Increased complexity,Readability,More memory usage,Slower execution,Readability,Clarifies data.
tables,What is a limitation of tables?,Improved performance,Redundancy,Low memory usage,Fast execution,Redundancy,Requires normalization.
primary keys,What are primary keys?,Unique identifiers for table rows,Sorting keys,Filtering keys,Compression keys,Unique identifiers for table rows,Ensures uniqueness.
primary keys,What property must a primary key have?,Uniqueness,Duplication,Randomness,Null values,Uniqueness,No duplicates allowed.
primary keys,What is a use case for primary keys?,Random access,Record identification,Filtering data,Sorting data,Record identification,Links tables.
primary keys,What is a benefit of primary keys?,Increased complexity,Integrity,More memory usage,Slower execution,Integrity,Prevents duplicates.
primary keys,What is a limitation of primary keys?,Improved performance,Change resistance,Low memory usage,Fast execution,Change resistance,Hard to modify.
foreign keys,What are foreign keys?,Fields linking to primary keys in another table,Sorting keys,Filtering keys,Compression keys,Fields linking to primary keys in another table,Enforces relationships.
foreign keys,What is a use case for foreign keys?,Random access,Data linking,Filtering data,Sorting data,Data linking,Relates tables.
foreign keys,What is a benefit of foreign keys?,Increased complexity,Referential integrity,More memory usage,Slower execution,Referential integrity,Maintains consistency.
foreign keys,What is a limitation of foreign keys?,Improved performance,Cascading updates,Low memory usage,Fast execution,Cascading updates,Complexity in maintenance.
foreign keys,What constraint enforces foreign keys?,FOREIGN KEY,PRIMARY KEY,UNIQUE,CHECK,FOREIGN KEY,Links tables.
indexes,What are indexes in databases?,Data structures to speed up queries,Sorting structures,Filtering structures,Compression structures,Data structures to speed up queries,Improves retrieval.
indexes,What is a common index type?,B-tree,Linear array,Graph,Queue,B-tree,Efficient search.
indexes,What is a use case for indexes?,Random access,Query optimization,Filtering data,Sorting data,Query optimization,Speeds up searches.
indexes,What is a benefit of indexes?,Increased complexity,Performance,More memory usage,Slower execution,Performance,Reduces query time.
indexes,What is a limitation of indexes?,Improved performance,Overhead,Low memory usage,Fast execution,Overhead,Increases storage.
normalization,What is normalization in databases?,Organizing data to reduce redundancy,Sorting data,Filtering data,Compressing data,Organizing data to reduce redundancy,Improves efficiency.
normalization,What is a normal form?,1NF,Loop structure,Variable type,Array type,1NF,First normal form.
normalization,What is a use case for normalization?,Random access,Database design,Filtering data,Sorting data,Database design,Eliminates anomalies.
normalization,What is a benefit of normalization?,Increased complexity,Data integrity,More memory usage,Slower execution,Data integrity,Reduces duplication.
normalization,What is a limitation of normalization?,Improved performance,Performance overhead,Low memory usage,Fast execution,Performance overhead,Joins slow queries.
denormalization,What is denormalization in databases?,Introducing redundancy for performance,Sorting data,Filtering data,Compressing data,Introducing redundancy for performance,Improves speed.
denormalization,What is a use case for denormalization?,Random access,Reporting,Filtering data,Sorting data,Reporting,Fast reads.
denormalization,What is a benefit of denormalization?,Increased complexity,Speed,More memory usage,Slower execution,Speed,Reduces joins.
denormalization,What is a limitation of denormalization?,Improved performance,Data inconsistency,Low memory usage,Fast execution,Data inconsistency,Requires updates.
denormalization,What technique supports denormalization?,Duplication,Normalization,Filtering,Compression,Duplication,Adds redundant data.
joins,What are joins in SQL?,Combining data from multiple tables,Sorting tables,Filtering tables,Compressing tables,Combining data from multiple tables,Relates data.
joins,What type of join returns all records?,FULL JOIN,INNER JOIN,LEFT JOIN,RIGHT JOIN,FULL JOIN,Includes all rows.
joins,What is a use case for joins?,Random access,Data correlation,Filtering data,Sorting data,Data correlation,Links tables.
joins,What is a benefit of joins?,Increased complexity,Comprehensive data,More memory usage,Slower execution,Comprehensive data,Unites information.
joins,What is a limitation of joins?,Improved performance,Performance cost,Low memory usage,Fast execution,Performance cost,Expensive for large data.
inner join,What does an INNER JOIN do?,Returns matching records only,Returns all records,Filters records,Sorts records,Returns matching records only,Excludes non-matching.
inner join,What is the syntax for INNER JOIN?,JOIN ... ON,WHERE,SELECT,UPDATE,JOIN ... ON,Specifies condition.
inner join,What is a use case for INNER JOIN?,Random access,Related data retrieval,Filtering data,Sorting data,Related data retrieval,Matches rows.
inner join,What is a benefit of INNER JOIN?,Increased complexity,Efficiency,More memory usage,Slower execution,Efficiency,Excludes irrelevant data.
inner join,What is a limitation of INNER JOIN?,Improved performance,Missing data,Low memory usage,Fast execution,Missing data,Omits non-matches.
left join,What does a LEFT JOIN do?,Returns all records from the left table,Returns all records,Filters records,Sorts records,Returns all records from the left table,Includes non-matches.
left join,What is the syntax for LEFT JOIN?,LEFT JOIN ... ON,WHERE,SELECT,UPDATE,LEFT JOIN ... ON,Specifies condition.
left join,What is a use case for LEFT JOIN?,Random access,Incomplete data matching,Filtering data,Sorting data,Incomplete data matching,Preserves left table.
left join,What is a benefit of LEFT JOIN?,Increased complexity,Completeness,More memory usage,Slower execution,Completeness,Retains all left data.
left join,What is a limitation of LEFT JOIN?,Improved performance,Performance overhead,Low memory usage,Fast execution,Performance overhead,Includes nulls.
right join,What does a RIGHT JOIN do?,Returns all records from the right table,Returns all records,Filters records,Sorts records,Returns all records from the right table,Includes non-matches.
right join,What is the syntax for RIGHT JOIN?,RIGHT JOIN ... ON,WHERE,SELECT,UPDATE,RIGHT JOIN ... ON,Specifies condition.
right join,What is a use case for RIGHT JOIN?,Random access,Incomplete data matching,Filtering data,Sorting data,Incomplete data matching,Preserves right table.
right join,What is a benefit of RIGHT JOIN?,Increased complexity,Completeness,More memory usage,Slower execution,Completeness,Retains all right data.
right join,What is a limitation of RIGHT JOIN?,Improved performance,Performance overhead,Low memory usage,Fast execution,Performance overhead,Includes nulls.
full join,What does a FULL JOIN do?,Returns all records from both tables,Returns matching records,Filters records,Sorts records,Returns all records from both tables,Includes all rows.
full join,What is the syntax for FULL JOIN?,FULL JOIN ... ON,WHERE,SELECT,UPDATE,FULL JOIN ... ON,Specifies condition.
full join,What is a use case for FULL JOIN?,Random access,Comprehensive data,Filtering data,Sorting data,Comprehensive data,Unites all rows.
full join,What is a benefit of FULL JOIN?,Increased complexity,Completeness,More memory usage,Slower execution,Completeness,Retains all data.
full join,What is a limitation of FULL JOIN?,Improved performance,High resource use,Low memory usage,Fast execution,High resource use,Expensive operation.
queries,What are queries in databases?,Requests for data retrieval,Sorting requests,Filtering requests,Compression requests,Requests for data retrieval,Extracts information.
queries,What command starts a query in SQL?,SELECT,INSERT,UPDATE,DELETE,SELECT,Retrieves data.
queries,What is a use case for queries?,Random access,Data extraction,Filtering data,Sorting data,Data extraction,Analyzes data.
queries,What is a benefit of queries?,Increased complexity,Flexibility,More memory usage,Slower execution,Flexibility,Customizable retrieval.
queries,What is a limitation of queries?,Improved performance,Performance cost,Low memory usage,Fast execution,Performance cost,Depends on complexity.
select statement,What does a SELECT statement do?,Retrieves data,Inserts data,Updates data,Deletes data,Retrieves data,Queries tables.
select statement,What clause limits rows in SELECT?,WHERE,LIMIT,ORDER BY,GROUP BY,LIMIT,Controls result size.
select statement,What is a use case for SELECT?,Random access,Data retrieval,Filtering data,Sorting data,Data retrieval,Extracts records.
select statement,What is a benefit of SELECT?,Increased complexity,Precision,More memory usage,Slower execution,Precision,Targets specific data.
select statement,What is a limitation of SELECT?,Improved performance,Over-fetching,Low memory usage,Fast execution,Over-fetching,May return excess.
insert statement,What does an INSERT statement do?,Retrieves data,Adds new data,Updates data,Deletes data,Adds new data,Inserts rows.
insert statement,What is the syntax for INSERT?,INSERT INTO ... VALUES,SELECT,UPDATE,DELETE,INSERT INTO ... VALUES,Adds records.
insert statement,What is a use case for INSERT?,Random access,Data entry,Filtering data,Sorting data,Data entry,Populates tables.
insert statement,What is a benefit of INSERT?,Increased complexity,Efficiency,More memory usage,Slower execution,Efficiency,Batch addition.
insert statement,What is a limitation of INSERT?,Improved performance,Duplicate issues,Low memory usage,Fast execution,Duplicate issues,Requires uniqueness.
update statement,What does an UPDATE statement do?,Retrieves data,Modifies existing data,Adds data,Deletes data,Modifies existing data,Changes rows.
update statement,What clause specifies conditions in UPDATE?,WHERE,SELECT,LIMIT,GROUP BY,WHERE,Targets rows.
update statement,What is a use case for UPDATE?,Random access,Data correction,Filtering data,Sorting data,Data correction,Fixes errors.
update statement,What is a benefit of UPDATE?,Increased complexity,Flexibility,More memory usage,Slower execution,Flexibility,Adapts data.
update statement,What is a limitation of UPDATE?,Improved performance,Accidental overwrites,Low memory usage,Fast execution,Accidental overwrites,Requires caution.
delete statement,What does a DELETE statement do?,Retrieves data,Removes data,Adds data,Updates data,Removes data,Deletes rows.
delete statement,What clause limits deletion in DELETE?,WHERE,SELECT,LIMIT,GROUP BY,WHERE,Targets rows.
delete statement,What is a use case for DELETE?,Random access,Data cleanup,Filtering data,Sorting data,Data cleanup,Removes obsolete data.
delete statement,What is a benefit of DELETE?,Increased complexity,Efficiency,More memory usage,Slower execution,Efficiency,Reclaims space.
delete statement,What is a limitation of DELETE?,Improved performance,Accidental loss,Low memory usage,Fast execution,Accidental loss,Requires backup.
transactions,What are transactions in databases?,A sequence of operations treated as a unit,Sorting operations,Filtering operations,Compression operations,A sequence of operations treated as a unit,Ensures consistency.
transactions,What property ensures transaction reversibility?,Rollback,Commit,Sort,Filter,Rollback,Undoes changes.
transactions,What is a use case for transactions?,Random access,Banking operations,Filtering data,Sorting data,Banking operations,Maintains integrity.
transactions,What is a benefit of transactions?,Increased complexity,Reliability,More memory usage,Slower execution,Reliability,Prevents partial updates.
transactions,What is a limitation of transactions?,Improved performance,Performance overhead,Low memory usage,Fast execution,Performance overhead,Adds latency.
nosql,What is NoSQL?,A non-relational database,Sorting database,Filtering database,Compression database,A non-relational database,Handles unstructured data.
nosql,What type of NoSQL uses key-value pairs?,Redis,MySQL,PostgreSQL,Oracle,Redis,Simple storage.
nosql,What is a use case for NoSQL?,Random access,Big data,Filtering data,Sorting data,Big data,Scales horizontally.
nosql,What is a benefit of NoSQL?,Increased complexity,Scalability,More memory usage,Slower execution,Scalability,Handles growth.
nosql,What is a limitation of NoSQL?,Improved performance,Consistency issues,Low memory usage,Fast execution,Consistency issues,Eventual consistency.
graph databases,What are graph databases?,Databases using graph structures,Sorting databases,Filtering databases,Compression databases,Databases using graph structures,Models relationships.
graph databases,What property defines graph databases?,Nodes and edges,Rows and columns,Keys and values,Arrays and lists,Nodes and edges,Represents connections.
graph databases,What is a use case for graph databases?,Random access,Social networks,Filtering data,Sorting data,Social networks,Analyzes relationships.
graph databases,What is a benefit of graph databases?,Increased complexity,Relationship efficiency,More memory usage,Slower execution,Relationship efficiency,Fast traversal.
graph databases,What is a limitation of graph databases?,Improved performance,Scalability challenges,Low memory usage,Fast execution,Scalability challenges,Complex queries.
mongodb,What is MongoDB?,A NoSQL document database,Relational database,Sorting tool,Filtering tool,A NoSQL document database,Uses JSON-like documents.
mongodb,What format does MongoDB use?,BSON,XML,HTML,CSS,BSON,Binary JSON.
mongodb,What is a use case for MongoDB?,Random access,Flexible data storage,Filtering data,Sorting data,Flexible data storage,Handles unstructured data.
mongodb,What is a benefit of MongoDB?,Increased complexity,Scalability,More memory usage,Slower execution,Scalability,Horizontal scaling.
mongodb,What is a limitation of MongoDB?,Improved performance,Consistency trade-offs,Low memory usage,Fast execution,Consistency trade-offs,Eventual consistency.
html,What is HTML?,HyperText Markup Language,Sorting language,Filtering language,Compression language,HyperText Markup Language,Structures web pages.
html,What tag defines the document structure?,<html>, <head>, <body>, <div>,<html>,Root element.
html,What is a use case for HTML?,Random access,Web page creation,Filtering data,Sorting data,Web page creation,Defines content.
html,What is a benefit of HTML?,Increased complexity,Simplicity,More memory usage,Slower execution,Simplicity,Easy to learn.
html,What is a limitation of HTML?,Improved performance,No interactivity,Low memory usage,Fast execution,No interactivity,Requires CSS/JS.
css,What is CSS?,Cascading Style Sheets,Sorting sheets,Filtering sheets,Compression sheets,Cascading Style Sheets,Styles web pages.
css,What property sets text color?,color,font-size,margin,padding,color,Changes text appearance.
css,What is a use case for CSS?,Random access,Web design,Filtering data,Sorting data,Web design,Enhances visuals.
css,What is a benefit of CSS?,Increased complexity,Maintainability,More memory usage,Slower execution,Maintainability,Separates style.
css,What is a limitation of CSS?,Improved performance,Browser compatibility,Low memory usage,Fast execution,Browser compatibility,Varies across browsers.
javascript,What is JavaScript?,A scripting language for web interactivity,Sorting language,Filtering language,Compression language,A scripting language for web interactivity,Adds dynamic behavior.
javascript,What keyword declares a variable?,var,loop,struct,enum,var,Traditional declaration.
javascript,What is a use case for JavaScript?,Random access,Web interactivity,Filtering data,Sorting data,Web interactivity,Handles events.
javascript,What is a benefit of JavaScript?,Increased complexity,Versatility,More memory usage,Slower execution,Versatility,Client-side execution.
javascript,What is a limitation of JavaScript?,Improved performance,Browser dependency,Low memory usage,Fast execution,Browser dependency,Varies across engines.
dom,What is the DOM?,Document Object Model,Sorting model,Filtering model,Compression model,Document Object Model,Represents HTML structure.
dom,What method accesses an element by ID?,getElementById(),getElementsByTagName(),querySelector(),getElementsByClassName(),getElementById(),Unique identifier.
dom,What is a use case for DOM?,Random access,Dynamic updates,Filtering data,Sorting data,Dynamic updates,Manipulates web pages.
dom,What is a benefit of DOM?,Increased complexity,Interactivity,More memory usage,Slower execution,Interactivity,Enables changes.
dom,What is a limitation of DOM?,Improved performance,Performance overhead,Low memory usage,Fast execution,Performance overhead,Complex manipulations.
ajax,What is AJAX?,Asynchronous JavaScript and XML,Sorting technique,Filtering technique,Compression technique,Asynchronous JavaScript and XML,Updates pages dynamically.
ajax,What method initiates an AJAX call?,fetch(),sort(),filter(),compress(),fetch(),Modern API call.
ajax,What is a use case for AJAX?,Random access,Data fetching,Filtering data,Sorting data,Data fetching,Loads content.
ajax,What is a benefit of AJAX?,Increased complexity,Responsiveness,More memory usage,Slower execution,Responsiveness,Updates without reload.
ajax,What is a limitation of AJAX?,Improved performance,Security risks,Low memory usage,Fast execution,Security risks,Exposes requests.
json,What is JSON?,JavaScript Object Notation,Sorting notation,Filtering notation,Compression notation,JavaScript Object Notation,Data interchange format.
json,What data type does JSON support?,Objects,Loops,Functions,Classes,Objects,Key-value pairs.
json,What is a use case for JSON?,Random access,API data,Filtering data,Sorting data,API data,Transfers data.
json,What is a benefit of JSON?,Increased complexity,Readability,More memory usage,Slower execution,Readability,Human-readable.
json,What is a limitation of JSON?,Improved performance,No functions,Low memory usage,Fast execution,No functions,Static data only.
xml,What is XML?,Extensible Markup Language,Sorting language,Filtering language,Compression language,Extensible Markup Language,Structured data format.
xml,What tag defines the root element?,<root>, <xml>, <data>, <item>,<root>,Customizable root.
xml,What is a use case for XML?,Random access,Data storage,Filtering data,Sorting data,Data storage,Config files.
xml,What is a benefit of XML?,Increased complexity,Flexibility,More memory usage,Slower execution,Flexibility,Custom tags.
xml,What is a limitation of XML?,Improved performance,Verbosity,Low memory usage,Fast execution,Verbosity,Larger file size.
apis,What are APIs?,Interfaces for software communication,Sorting interfaces,Filtering interfaces,Compression interfaces,Interfaces for software communication,Enables integration.
apis,What type of API uses HTTP?,REST,SOAP,TCP,UDP,REST,Stateless protocol.
apis,What is a use case for APIs?,Random access,Service integration,Filtering data,Sorting data,Service integration,Connects apps.
apis,What is a benefit of APIs?,Increased complexity,Interoperability,More memory usage,Slower execution,Interoperability,Standard access.
apis,What is a limitation of APIs?,Improved performance,Security risks,Low memory usage,Fast execution,Security risks,Exposes endpoints.
rest,What does REST stand for?,Representational State Transfer,Sorting Transfer,Filtering Transfer,Compression Transfer,Representational State Transfer,Web service architecture.
rest,What principle defines REST?,Statelessness,Stateful,Fixed state,Dynamic state,Statelessness,Each request independent.
rest,What is a use case for REST?,Random access,Web services,Filtering data,Sorting data,Web services,Scalable communication.
rest,What is a benefit of REST?,Increased complexity,Simplicity,More memory usage,Slower execution,Simplicity,Easy to implement.
rest,What is a limitation of REST?,Improved performance,Over-fetching,Low memory usage,Fast execution,Over-fetching,Excess data.
soap,What does SOAP stand for?,Simple Object Access Protocol,Sorting Object Protocol,Filtering Object Protocol,Compression Object Protocol,Simple Object Access Protocol,XML-based protocol.
soap,What format does SOAP use?,XML,JSON,HTML,CSS,XML,Structured messaging.
soap,What is a use case for SOAP?,Random access,Enterprise apps,Filtering data,Sorting data,Enterprise apps,Secure transactions.
soap,What is a benefit of SOAP?,Increased complexity,Security,More memory usage,Slower execution,Security,Robust standards.
soap,What is a limitation of SOAP?,Improved performance,Complexity,Low memory usage,Fast execution,Complexity,Heavy overhead.
http methods,What are HTTP methods?,Actions like GET and POST,Sorting actions,Filtering actions,Compression actions,Actions like GET and POST,Define requests.
http methods,What method retrieves data?,GET,POST,PUT,DELETE,GET,Reads resources.
